,listing_id,dayname,price
178,723410,Sunday,295.0
179,723410,Thursday,295.0
180,723410,Tuesday,295.0
181,723410,Wednesday,295.0
182,751963,Friday,111.64150943396227
183,751963,Monday,108.92307692307692
184,751963,Saturday,111.8076923076923
185,751963,Sunday,109.48076923076923
186,751963,Thursday,110.57692307692308
187,751963,Tuesday,108.92307692307692
188,751963,Wednesday,108.92307692307692
189,840696,Friday,243.50943396226415
190,840696,Monday,220.3846153846154
191,840696,Saturday,243.6346153846154
192,840696,Sunday,228.07692307692307
193,840696,Thursday,219.55769230769232
194,840696,Tuesday,220.0
195,840696,Wednesday,219.71153846153845
196,846221,Friday,147.0
197,846221,Monday,137.0
198,846221,Saturday,147.0
199,846221,Sunday,137.0
200,846221,Thursday,137.0
201,846221,Tuesday,137.0
202,846221,Wednesday,137.0
203,874008,Friday,195.0
204,874008,Monday,175.0
205,874008,Saturday,195.0
206,874008,Sunday,175.0
207,874008,Thursday,175.0
208,874008,Tuesday,175.0
209,874008,Wednesday,175.0
210,875735,Friday,55.07692307692308
211,875735,Monday,55.0
212,875735,Saturday,55.09615384615385
213,875735,Sunday,55.0
214,875735,Thursday,55.0
215,875735,Tuesday,55.0
216,875735,Wednesday,55.0
217,881707,Friday,95.0
218,881707,Monday,94.90384615384616
219,881707,Saturday,95.0
220,881707,Sunday,94.90384615384616
221,881707,Thursday,94.81132075471699
222,881707,Tuesday,94.90384615384616
223,881707,Wednesday,94.90384615384616
224,942934,Friday,62.28846153846154
225,942934,Monday,60.19230769230769
226,942934,Saturday,62.65384615384615
227,942934,Sunday,61.23076923076923
228,942934,Thursday,60.716981132075475
229,942934,Tuesday,60.23076923076923
230,942934,Wednesday,60.19230769230769
231,943832,Friday,275.0
232,943832,Monday,250.0
233,943832,Saturday,275.0
234,943832,Sunday,250.0
235,943832,Thursday,250.0
236,943832,Tuesday,250.0
237,943832,Wednesday,250.0
238,971003,Friday,145.0
239,971003,Monday,145.0
240,971003,Saturday,145.0
241,971003,Sunday,145.0
242,971003,Thursday,145.0
243,971003,Tuesday,145.0
244,971003,Wednesday,145.0
245,976034,Friday,165.0
246,976034,Monday,145.0
247,976034,Saturday,165.0
248,976034,Sunday,145.0
249,976034,Thursday,145.0
250,976034,Tuesday,145.0
251,976034,Wednesday,145.0
252,977054,Friday,130.0
253,977054,Monday,130.0
254,977054,Saturday,130.0
255,977054,Sunday,130.0
256,977054,Thursday,130.0
257,977054,Tuesday,130.0
258,977054,Wednesday,130.0
259,990426,Friday,339.20754716981133
260,990426,Monday,331.3269230769231
261,990426,Saturday,339.4807692307692
262,990426,Sunday,331.96153846153845
263,990426,Thursday,331.2692307692308
264,990426,Tuesday,329.6730769230769
265,990426,Wednesday,329.6730769230769
266,992821,Friday,87.48076923076923
267,992821,Monday,86.25
268,992821,Saturday,88.23076923076923
269,992821,Sunday,86.40384615384616
270,992821,Thursday,86.13207547169812
271,992821,Tuesday,86.25
272,992821,Wednesday,86.17307692307692
273,1039028,Friday,125.0
274,1039028,Monday,90.0
275,1039028,Saturday,125.0
276,1039028,Sunday,90.0
277,1039028,Thursday,90.0
278,1039028,Tuesday,90.0
279,1039028,Wednesday,90.0
280,1066156,Friday,147.82692307692307
281,1066156,Monday,142.23076923076923
282,1066156,Saturday,147.71153846153845
283,1066156,Sunday,142.82692307692307
284,1066156,Thursday,142.83018867924528
285,1066156,Tuesday,142.19230769230768
286,1066156,Wednesday,142.19230769230768
287,1127777,Friday,60.53846153846154
288,1127777,Monday,60.0
289,1127777,Saturday,60.53846153846154
290,1127777,Sunday,60.0
291,1127777,Thursday,60.0
292,1127777,Tuesday,60.0
293,1127777,Wednesday,60.0
294,1151149,Friday,72.0
295,1151149,Monday,72.0
296,1151149,Saturday,72.0
297,1151149,Sunday,72.0
298,1151149,Thursday,72.0
299,1151149,Tuesday,72.0
300,1151149,Wednesday,72.0
301,1198090,Friday,149.33962264150944
302,1198090,Monday,84.71153846153847
303,1198090,Saturday,149.23076923076923
304,1198090,Sunday,84.61538461538461
305,1198090,Thursday,84.71153846153847
306,1198090,Tuesday,84.71153846153847
307,1198090,Wednesday,84.71153846153847
308,1212352,Friday,103.26923076923077
309,1212352,Monday,103.42307692307692
310,1212352,Saturday,103.8076923076923
311,1212352,Sunday,103.42307692307692
312,1212352,Thursday,103.84905660377359
313,1212352,Tuesday,103.42307692307692
314,1212352,Wednesday,103.63461538461539
315,1219374,Friday,99.0576923076923
316,1219374,Monday,97.6923076923077
317,1219374,Saturday,99.01923076923077
318,1219374,Sunday,98.07692307692308
319,1219374,Thursday,98.52830188679245
320,1219374,Tuesday,97.6923076923077
321,1219374,Wednesday,97.96153846153847
322,1223655,Friday,551.0769230769231
323,1223655,Monday,550.0192307692307
324,1223655,Saturday,548.4807692307693
325,1223655,Sunday,550.2307692307693
326,1223655,Thursday,553.5849056603773
327,1223655,Tuesday,550.0192307692307
328,1223655,Wednesday,550.8846153846154
329,1223683,Friday,281.1923076923077
330,1223683,Monday,273.0
331,1223683,Saturday,281.28846153846155
332,1223683,Sunday,278.8269230769231
333,1223683,Thursday,274.5660377358491
334,1223683,Tuesday,273.0
335,1223683,Wednesday,273.0
336,1235531,Friday,89.0
337,1235531,Monday,89.0
338,1235531,Saturday,89.0
339,1235531,Sunday,89.0
340,1235531,Thursday,89.0
341,1235531,Tuesday,89.0
342,1235531,Wednesday,89.0
343,1243512,Friday,1285.0
344,1243512,Monday,1285.0
345,1243512,Saturday,1285.0
346,1243512,Sunday,1285.0
347,1243512,Thursday,1285.0
348,1243512,Tuesday,1285.0
349,1243512,Wednesday,1285.0
350,1297717,Friday,57.0
351,1297717,Monday,57.0
352,1297717,Saturday,57.0
353,1297717,Sunday,57.0
354,1297717,Thursday,57.0
355,1297717,Tuesday,57.0
356,1297717,Wednesday,57.0
357,1312301,Friday,95.0
358,1312301,Monday,79.0
359,1312301,Saturday,95.0
360,1312301,Sunday,79.0
361,1312301,Thursday,79.0
362,1312301,Tuesday,79.0
363,1312301,Wednesday,79.0
364,1325364,Friday,51.03846153846154
365,1325364,Monday,50.03846153846154
366,1325364,Saturday,51.30769230769231
367,1325364,Sunday,50.13461538461539
368,1325364,Thursday,50.113207547169814
369,1325364,Tuesday,50.05769230769231
370,1325364,Wednesday,50.07692307692308
371,1392363,Friday,177.96153846153845
372,1392363,Monday,129.17307692307693
373,1392363,Saturday,180.73076923076923
374,1392363,Sunday,134.6346153846154
375,1392363,Thursday,135.96226415094338
376,1392363,Tuesday,126.01923076923077
377,1392363,Wednesday,126.34615384615384
378,1393012,Friday,80.0
379,1393012,Monday,80.0
380,1393012,Saturday,80.0
381,1393012,Sunday,80.0
382,1393012,Thursday,80.0
383,1393012,Tuesday,80.0
384,1393012,Wednesday,80.0
385,1421061,Friday,120.0
386,1421061,Monday,125.0
387,1421061,Saturday,120.0
388,1421061,Sunday,125.0
389,1421061,Thursday,125.0
390,1421061,Tuesday,125.0
391,1421061,Wednesday,125.0
392,1475299,Friday,193.17307692307693
393,1475299,Monday,192.98076923076923
394,1475299,Saturday,193.23076923076923
395,1475299,Sunday,192.92307692307693
396,1475299,Thursday,194.54716981132074
397,1475299,Tuesday,195.67307692307693
398,1475299,Wednesday,195.75
399,1497710,Friday,125.0
400,1497710,Monday,125.0
401,1497710,Saturday,125.0
402,1497710,Sunday,125.0
403,1497710,Thursday,125.0
404,1497710,Tuesday,125.0
405,1497710,Wednesday,125.0
406,1563004,Friday,85.0
407,1563004,Monday,85.0
408,1563004,Saturday,85.0
409,1563004,Sunday,85.0
410,1563004,Thursday,85.0
411,1563004,Tuesday,85.0
412,1563004,Wednesday,85.0
413,1569954,Friday,70.0
414,1569954,Monday,70.0
415,1569954,Saturday,70.0
416,1569954,Sunday,70.0
417,1569954,Thursday,70.0
418,1569954,Tuesday,70.0
419,1569954,Wednesday,70.0
420,1571095,Friday,79.0
421,1571095,Monday,79.0
422,1571095,Saturday,79.0
423,1571095,Sunday,79.0
424,1571095,Thursday,79.0
425,1571095,Tuesday,79.0
426,1571095,Wednesday,79.0
427,1574329,Friday,150.0
428,1574329,Monday,135.0
429,1574329,Saturday,150.0
430,1574329,Sunday,135.0
431,1574329,Thursday,135.0
432,1574329,Tuesday,135.0
433,1574329,Wednesday,135.0
434,1577750,Friday,89.0
435,1577750,Monday,44.0
436,1577750,Saturday,89.0
437,1577750,Sunday,44.0
438,1577750,Thursday,44.0
439,1577750,Tuesday,44.0
440,1577750,Wednesday,44.0
441,1578831,Friday,85.42307692307692
442,1578831,Monday,84.78846153846153
443,1578831,Saturday,85.25
444,1578831,Sunday,84.75
445,1578831,Thursday,84.67924528301887
446,1578831,Tuesday,84.78846153846153
447,1578831,Wednesday,84.78846153846153
448,1586906,Friday,85.0
449,1586906,Monday,80.0
450,1586906,Saturday,85.0
451,1586906,Sunday,80.0
452,1586906,Thursday,80.0
453,1586906,Tuesday,80.0
454,1586906,Wednesday,80.0
455,1684109,Friday,325.0
456,1684109,Monday,300.86538461538464
457,1684109,Saturday,325.0
458,1684109,Sunday,303.84615384615387
459,1684109,Thursday,302.7358490566038
460,1684109,Tuesday,300.86538461538464
461,1684109,Wednesday,300.86538461538464
462,1728187,Friday,214.42307692307693
463,1728187,Monday,217.1153846153846
464,1728187,Saturday,214.42307692307693
465,1728187,Sunday,215.67307692307693
466,1728187,Thursday,214.62264150943398
467,1728187,Tuesday,217.1153846153846
468,1728187,Wednesday,217.1153846153846
469,1768955,Friday,120.0
470,1768955,Monday,42.0
471,1768955,Saturday,120.0
472,1768955,Sunday,42.0
473,1768955,Thursday,42.0
474,1768955,Tuesday,42.0
475,1768955,Wednesday,42.0
476,1785262,Friday,84.79245283018868
477,1785262,Monday,78.32692307692308
478,1785262,Saturday,84.8076923076923
479,1785262,Sunday,78.75
480,1785262,Thursday,80.92307692307692
481,1785262,Tuesday,78.3076923076923
482,1785262,Wednesday,78.32692307692308
483,1788770,Friday,149.1346153846154
484,1788770,Monday,77.3076923076923
485,1788770,Saturday,149.1346153846154
486,1788770,Sunday,77.3076923076923
487,1788770,Thursday,78.39622641509433
488,1788770,Tuesday,77.3076923076923
489,1788770,Wednesday,77.3076923076923
490,1827412,Friday,99.0
491,1827412,Monday,89.0
492,1827412,Saturday,99.0
493,1827412,Sunday,89.0
494,1827412,Thursday,89.0
495,1827412,Tuesday,89.0
496,1827412,Wednesday,89.0
497,1843828,Friday,250.0
498,1843828,Monday,250.0
499,1843828,Saturday,250.0
500,1843828,Sunday,250.0
501,1843828,Thursday,250.0
502,1843828,Tuesday,250.0
503,1843828,Wednesday,250.0
504,1851921,Friday,150.0
505,1851921,Monday,120.0
506,1851921,Saturday,150.0
507,1851921,Sunday,120.0
508,1851921,Thursday,120.0
509,1851921,Tuesday,120.0
510,1851921,Wednesday,120.0
511,1852818,Friday,60.0
512,1852818,Monday,60.0
513,1852818,Saturday,60.0
514,1852818,Sunday,60.0
515,1852818,Thursday,60.0
516,1852818,Tuesday,60.0
517,1852818,Wednesday,60.0
518,1950593,Friday,119.0
519,1950593,Monday,109.0
520,1950593,Saturday,119.0
521,1950593,Sunday,109.0
522,1950593,Thursday,109.0
523,1950593,Tuesday,109.0
524,1950593,Wednesday,109.0
525,1956037,Friday,150.0
526,1956037,Monday,130.0
527,1956037,Saturday,150.0
528,1956037,Sunday,130.0
529,1956037,Thursday,130.0
530,1956037,Tuesday,130.0
531,1956037,Wednesday,130.0
532,2011367,Friday,119.0
533,2011367,Monday,79.0
534,2011367,Saturday,119.0
535,2011367,Sunday,79.0
536,2011367,Thursday,79.0
537,2011367,Tuesday,79.0
538,2011367,Wednesday,79.0
539,2014453,Friday,109.0
540,2014453,Monday,99.0
541,2014453,Saturday,109.0
542,2014453,Sunday,99.0
543,2014453,Thursday,99.0
544,2014453,Tuesday,99.0
545,2014453,Wednesday,99.0
546,2072026,Friday,120.38461538461539
547,2072026,Monday,101.0576923076923
548,2072026,Saturday,120.38461538461539
549,2072026,Sunday,102.11538461538461
550,2072026,Thursday,104.05660377358491
551,2072026,Tuesday,101.0576923076923
552,2072026,Wednesday,102.11538461538461
553,2108335,Friday,170.3846153846154
554,2108335,Monday,169.80769230769232
555,2108335,Saturday,170.19230769230768
556,2108335,Sunday,169.6153846153846
557,2108335,Thursday,169.9056603773585
558,2108335,Tuesday,169.6153846153846
559,2108335,Wednesday,169.42307692307693
560,2176375,Friday,44.0
561,2176375,Monday,44.0
562,2176375,Saturday,44.0
563,2176375,Sunday,44.0
564,2176375,Thursday,44.0
565,2176375,Tuesday,44.0
566,2176375,Wednesday,44.0
567,2209375,Friday,199.0
568,2209375,Monday,113.0
569,2209375,Saturday,199.0
570,2209375,Sunday,114.65384615384616
571,2209375,Thursday,113.0
572,2209375,Tuesday,113.0
573,2209375,Wednesday,113.0
574,2213748,Friday,39.36538461538461
575,2213748,Monday,38.25
576,2213748,Saturday,39.5
577,2213748,Sunday,38.40384615384615
578,2213748,Thursday,38.41509433962264
579,2213748,Tuesday,38.15384615384615
580,2213748,Wednesday,38.19230769230769
581,2214960,Friday,89.0
582,2214960,Monday,79.0
583,2214960,Saturday,89.0
584,2214960,Sunday,79.0
585,2214960,Thursday,79.0
586,2214960,Tuesday,79.0
587,2214960,Wednesday,79.0
588,2222067,Friday,110.0
589,2222067,Monday,85.0
590,2222067,Saturday,110.0
591,2222067,Sunday,85.38461538461539
592,2222067,Thursday,85.47169811320755
593,2222067,Tuesday,85.0
594,2222067,Wednesday,85.48076923076923
595,2254521,Friday,65.0
596,2254521,Monday,40.0
597,2254521,Saturday,65.0
598,2254521,Sunday,40.0
599,2254521,Thursday,40.0
600,2254521,Tuesday,40.0
601,2254521,Wednesday,40.0
602,2283071,Friday,31.96153846153846
603,2283071,Monday,31.115384615384617
604,2283071,Saturday,31.98076923076923
605,2283071,Sunday,31.923076923076923
606,2283071,Thursday,32.056603773584904
607,2283071,Tuesday,31.01923076923077
608,2283071,Wednesday,31.01923076923077
609,2295996,Friday,85.73076923076923
610,2295996,Monday,74.1923076923077
611,2295996,Saturday,85.67307692307692
612,2295996,Sunday,74.1923076923077
613,2295996,Thursday,74.90566037735849
614,2295996,Tuesday,74.1923076923077
615,2295996,Wednesday,74.32692307692308
616,2296152,Friday,91.3076923076923
617,2296152,Monday,77.4423076923077
618,2296152,Saturday,91.23076923076923
619,2296152,Sunday,77.4423076923077
620,2296152,Thursday,76.88679245283019
621,2296152,Tuesday,77.4423076923077
622,2296152,Wednesday,77.25
623,2326086,Friday,245.07692307692307
624,2326086,Monday,168.73076923076923
625,2326086,Saturday,246.34615384615384
626,2326086,Sunday,169.3653846153846
627,2326086,Thursday,175.0
628,2326086,Tuesday,168.5
629,2326086,Wednesday,168.28846153846155
630,2411109,Friday,92.40384615384616
631,2411109,Monday,80.17307692307692
632,2411109,Saturday,92.38461538461539
633,2411109,Sunday,80.17307692307692
634,2411109,Thursday,80.26415094339623
635,2411109,Tuesday,80.15384615384616
636,2411109,Wednesday,80.15384615384616
637,2432326,Friday,97.0
638,2432326,Monday,77.0
639,2432326,Saturday,97.0
640,2432326,Sunday,77.0
641,2432326,Thursday,77.0
642,2432326,Tuesday,77.0
643,2432326,Wednesday,77.0
644,2432333,Friday,80.13461538461539
645,2432333,Monday,80.0
646,2432333,Saturday,80.21153846153847
647,2432333,Sunday,80.0
648,2432333,Thursday,80.0
649,2432333,Tuesday,80.0
650,2432333,Wednesday,80.0
651,2454666,Friday,144.69230769230768
652,2454666,Monday,139.8846153846154
653,2454666,Saturday,144.76923076923077
654,2454666,Sunday,139.82692307692307
655,2454666,Thursday,139.66037735849056
656,2454666,Tuesday,139.94230769230768
657,2454666,Wednesday,140.0
658,2477628,Friday,70.84905660377359
659,2477628,Monday,71.25
660,2477628,Saturday,70.96153846153847
661,2477628,Sunday,71.25
662,2477628,Thursday,71.63461538461539
663,2477628,Tuesday,71.53846153846153
664,2477628,Wednesday,71.53846153846153
665,2569529,Friday,114.88679245283019
666,2569529,Monday,114.61538461538461
667,2569529,Saturday,114.61538461538461
668,2569529,Sunday,114.61538461538461
669,2569529,Thursday,115.46153846153847
670,2569529,Tuesday,114.61538461538461
671,2569529,Wednesday,114.61538461538461
672,2607570,Friday,79.0
673,2607570,Monday,79.0
674,2607570,Saturday,79.0
675,2607570,Sunday,79.0
676,2607570,Thursday,79.0
677,2607570,Tuesday,79.0
678,2607570,Wednesday,79.0
679,2624781,Friday,249.0
680,2624781,Monday,249.0
681,2624781,Saturday,249.0
682,2624781,Sunday,249.0
683,2624781,Thursday,249.0
684,2624781,Tuesday,249.0
685,2624781,Wednesday,249.0
686,2643168,Friday,999.0
687,2643168,Monday,999.0
688,2643168,Saturday,999.0
689,2643168,Sunday,999.0
690,2643168,Thursday,999.0
691,2643168,Tuesday,999.0
692,2643168,Wednesday,999.0
693,2691057,Friday,65.0
694,2691057,Monday,65.0
695,2691057,Saturday,65.0
696,2691057,Sunday,65.0
697,2691057,Thursday,65.0
698,2691057,Tuesday,65.0
699,2691057,Wednesday,65.0
700,2708104,Friday,99.0
701,2708104,Monday,100.0
702,2708104,Saturday,99.0
703,2708104,Sunday,100.0
704,2708104,Thursday,100.0
705,2708104,Tuesday,100.0
706,2708104,Wednesday,100.0
707,2761044,Friday,504.03846153846155
708,2761044,Monday,500.61538461538464
709,2761044,Saturday,505.5576923076923
710,2761044,Sunday,500.1730769230769
711,2761044,Thursday,503.66037735849056
712,2761044,Tuesday,501.34615384615387
713,2761044,Wednesday,507.71153846153845
714,2842035,Friday,189.71698113207546
715,2842035,Monday,190.0
716,2842035,Saturday,189.71153846153845
717,2842035,Sunday,189.71153846153845
718,2842035,Thursday,190.0
719,2842035,Tuesday,190.0
720,2842035,Wednesday,190.0
721,2925486,Friday,135.0
722,2925486,Monday,125.0
723,2925486,Saturday,135.0
724,2925486,Sunday,125.0
725,2925486,Thursday,125.0
726,2925486,Tuesday,125.0
727,2925486,Wednesday,125.0
728,2943116,Friday,100.0
729,2943116,Monday,100.0
730,2943116,Saturday,100.0
731,2943116,Sunday,100.0
732,2943116,Thursday,100.0
733,2943116,Tuesday,100.0
734,2943116,Wednesday,100.0
735,2949571,Friday,125.0
736,2949571,Monday,125.0
737,2949571,Saturday,125.23076923076923
738,2949571,Sunday,125.0
739,2949571,Thursday,125.0
