listing_id,dayname,price
874008,Friday,195.0
874008,Monday,175.0
874008,Saturday,195.0
874008,Sunday,175.0
874008,Thursday,175.0
874008,Tuesday,175.0
874008,Wednesday,175.0
875735,Friday,55.07692307692308
875735,Monday,55.0
875735,Saturday,55.09615384615385
875735,Sunday,55.0
875735,Thursday,55.0
875735,Tuesday,55.0
875735,Wednesday,55.0
881707,Friday,95.0
881707,Monday,94.90384615384616
881707,Saturday,95.0
881707,Sunday,94.90384615384616
881707,Thursday,94.81132075471699
881707,Tuesday,94.90384615384616
881707,Wednesday,94.90384615384616
942934,Friday,62.28846153846154
942934,Monday,60.19230769230769
942934,Saturday,62.65384615384615
942934,Sunday,61.23076923076923
942934,Thursday,60.716981132075475
942934,Tuesday,60.23076923076923
942934,Wednesday,60.19230769230769
943832,Friday,275.0
943832,Monday,250.0
943832,Saturday,275.0
943832,Sunday,250.0
943832,Thursday,250.0
943832,Tuesday,250.0
943832,Wednesday,250.0
971003,Friday,145.0
971003,Monday,145.0
971003,Saturday,145.0
971003,Sunday,145.0
971003,Thursday,145.0
971003,Tuesday,145.0
971003,Wednesday,145.0
976034,Friday,165.0
976034,Monday,145.0
976034,Saturday,165.0
976034,Sunday,145.0
976034,Thursday,145.0
976034,Tuesday,145.0
976034,Wednesday,145.0
977054,Friday,130.0
977054,Monday,130.0
977054,Saturday,130.0
977054,Sunday,130.0
977054,Thursday,130.0
977054,Tuesday,130.0
977054,Wednesday,130.0
990426,Friday,339.20754716981133
990426,Monday,331.3269230769231
990426,Saturday,339.4807692307692
990426,Sunday,331.96153846153845
990426,Thursday,331.2692307692308
990426,Tuesday,329.6730769230769
990426,Wednesday,329.6730769230769
992821,Friday,87.48076923076923
992821,Monday,86.25
992821,Saturday,88.23076923076923
992821,Sunday,86.40384615384616
992821,Thursday,86.13207547169812
992821,Tuesday,86.25
992821,Wednesday,86.17307692307692
1039028,Friday,125.0
1039028,Monday,90.0
1039028,Saturday,125.0
1039028,Sunday,90.0
1039028,Thursday,90.0
1039028,Tuesday,90.0
1039028,Wednesday,90.0
1066156,Friday,147.82692307692307
1066156,Monday,142.23076923076923
1066156,Saturday,147.71153846153845
1066156,Sunday,142.82692307692307
1066156,Thursday,142.83018867924528
1066156,Tuesday,142.19230769230768
1066156,Wednesday,142.19230769230768
1127777,Friday,60.53846153846154
1127777,Monday,60.0
1127777,Saturday,60.53846153846154
1127777,Sunday,60.0
1127777,Thursday,60.0
1127777,Tuesday,60.0
1127777,Wednesday,60.0
1151149,Friday,72.0
1151149,Monday,72.0
1151149,Saturday,72.0
1151149,Sunday,72.0
1151149,Thursday,72.0
1151149,Tuesday,72.0
1151149,Wednesday,72.0
1198090,Friday,149.33962264150944
1198090,Monday,84.71153846153847
1198090,Saturday,149.23076923076923
1198090,Sunday,84.61538461538461
1198090,Thursday,84.71153846153847
1198090,Tuesday,84.71153846153847
1198090,Wednesday,84.71153846153847
1212352,Friday,103.26923076923077
1212352,Monday,103.42307692307692
1212352,Saturday,103.8076923076923
1212352,Sunday,103.42307692307692
1212352,Thursday,103.84905660377359
1212352,Tuesday,103.42307692307692
1212352,Wednesday,103.63461538461539
1219374,Friday,99.0576923076923
1219374,Monday,97.6923076923077
1219374,Saturday,99.01923076923077
1219374,Sunday,98.07692307692308
1219374,Thursday,98.52830188679245
1219374,Tuesday,97.6923076923077
1219374,Wednesday,97.96153846153847
1223655,Friday,551.0769230769231
1223655,Monday,550.0192307692307
1223655,Saturday,548.4807692307693
1223655,Sunday,550.2307692307693
1223655,Thursday,553.5849056603773
1223655,Tuesday,550.0192307692307
1223655,Wednesday,550.8846153846154
1223683,Friday,281.1923076923077
1223683,Monday,273.0
1223683,Saturday,281.28846153846155
1223683,Sunday,278.8269230769231
1223683,Thursday,274.5660377358491
1223683,Tuesday,273.0
