,listing_id,monthname,price
223,621243,March,136.6451612903226
224,621243,May,137.2258064516129
225,621243,November,136.8
226,621243,October,137.80645161290323
227,621243,September,136.8
228,634319,April,150.0
229,634319,August,150.0
230,634319,December,175.0
231,634319,February,150.0
232,634319,January,150.0
233,634319,July,150.0
234,634319,June,150.0
235,634319,March,150.0
236,634319,May,150.0
237,634319,November,175.0
238,634319,October,175.0
239,634319,September,150.0
240,660702,April,91.5
241,660702,August,90.96774193548387
242,660702,December,89.19354838709677
243,660702,February,90.71428571428571
244,660702,January,92.74193548387096
245,660702,July,90.96774193548387
246,660702,June,58.166666666666664
247,660702,March,89.19354838709677
248,660702,May,90.96774193548387
249,660702,November,89.66666666666667
250,660702,October,92.74193548387096
251,660702,September,89.66666666666667
252,674894,April,46.666666666666664
253,674894,August,41.03225806451613
254,674894,December,41.0
255,674894,February,41.0
256,674894,January,41.0
257,674894,July,41.12903225806452
258,674894,June,41.53333333333333
259,674894,March,42.25806451612903
260,674894,May,46.58064516129032
261,674894,November,41.0
262,674894,October,41.0
263,674894,September,41.03333333333333
264,695196,April,55.833333333333336
265,695196,August,49.806451612903224
266,695196,December,49.0
267,695196,February,49.07142857142857
268,695196,January,49.0
269,695196,July,51.483870967741936
270,695196,June,51.46666666666667
271,695196,March,50.645161290322584
272,695196,May,55.74193548387097
273,695196,November,49.0
274,695196,October,49.0
275,695196,September,50.53333333333333
276,720609,April,345.73333333333335
277,720609,August,313.61290322580646
278,720609,December,345.5806451612903
279,720609,February,345.64285714285717
280,720609,January,345.8709677419355
281,720609,July,329.80645161290323
282,720609,June,317.6333333333333
283,720609,March,345.5483870967742
284,720609,May,342.35483870967744
285,720609,November,345.53333333333336
286,720609,October,345.9032258064516
287,720609,September,320.6
288,723349,April,176.7
289,723349,August,176.51612903225808
290,723349,December,175.90322580645162
291,723349,February,176.42857142857142
292,723349,January,177.1290322580645
293,723349,July,176.51612903225808
294,723349,June,176.06666666666666
295,723349,March,175.90322580645162
296,723349,May,176.51612903225808
297,723349,November,176.06666666666666
298,723349,October,177.1290322580645
299,723349,September,176.06666666666666
300,723410,April,299.5
301,723410,August,299.35483870967744
302,723410,December,298.8709677419355
303,723410,February,299.2857142857143
304,723410,January,299.83870967741933
305,723410,July,299.35483870967744
306,723410,June,299.0
307,723410,March,298.8709677419355
308,723410,May,299.35483870967744
309,723410,November,299.0
310,723410,October,299.83870967741933
311,723410,September,299.0
312,751963,April,131.5
313,751963,August,95.09677419354838
314,751963,December,131.32258064516128
315,751963,February,96.71428571428571
316,751963,January,96.7741935483871
317,751963,July,95.0
318,751963,June,95.13333333333334
319,751963,March,104.48387096774194
320,751963,May,127.90322580645162
321,751963,November,131.36666666666667
322,751963,October,117.12903225806451
323,751963,September,97.3
324,840696,April,244.0
325,840696,August,210.80645161290323
326,840696,December,242.09677419354838
327,840696,February,232.85714285714286
328,840696,January,216.03225806451613
329,840696,July,207.51612903225808
330,840696,June,214.0
331,840696,March,232.74193548387098
332,840696,May,251.93548387096774
333,840696,November,232.33333333333334
334,840696,October,243.93548387096774
335,840696,September,206.33333333333334
336,846221,April,140.0
337,846221,August,139.90322580645162
338,846221,December,139.58064516129033
339,846221,February,139.85714285714286
340,846221,January,140.2258064516129
341,846221,July,139.90322580645162
342,846221,June,139.66666666666666
343,846221,March,139.58064516129033
344,846221,May,139.90322580645162
345,846221,November,139.66666666666666
346,846221,October,140.2258064516129
347,846221,September,139.66666666666666
348,874008,April,181.0
349,874008,August,180.80645161290323
350,874008,December,180.16129032258064
351,874008,February,180.71428571428572
