,host_since
1497,2015-05-10
1498,2017-03-24
1499,2011-11-16
1500,2013-07-27
1501,2013-11-17
1502,2018-11-17
1503,2017-03-24
1504,2016-07-18
1505,2017-11-02
1506,2017-10-27
1507,2016-10-20
1508,2017-03-27
1509,2018-03-02
1510,2016-01-12
1511,2017-01-10
1512,2018-05-02
1513,2016-02-25
1514,2016-02-25
1515,2018-03-02
1516,2018-03-02
1517,2018-03-02
1518,2014-01-26
1519,2018-11-27
1520,2018-11-15
1521,2014-10-30
1522,2018-12-02
1523,2013-04-24
1524,2015-03-02
1525,2012-05-03
1526,2011-06-20
1527,2015-11-28
1528,2018-05-13
1529,2018-12-10
1530,2016-05-04
1531,2018-12-11
1532,2015-04-07
1533,2017-09-07
1534,2016-04-18
1535,2016-02-07
1536,2017-09-20
1537,2015-05-11
1538,2017-06-13
1539,2016-12-01
1540,2015-04-19
1541,2015-03-29
1542,2017-11-17
1543,2016-06-04
1544,2018-12-24
1545,2015-05-29
1546,2016-08-08
1547,2018-03-02
1548,2018-01-27
1549,2013-04-24
1550,2017-10-27
1551,2018-12-04
1552,2015-01-21
1553,2018-12-31
1554,2019-01-01
1555,2019-01-01
1556,2018-01-11
1557,2016-03-08
1558,2018-07-17
1559,2018-01-11
1560,2018-01-11
1561,2018-01-11
1562,2018-01-11
1563,2018-01-11
1564,2018-01-11
1565,2018-01-11
1566,2018-01-11
1567,2018-01-11
1568,2018-01-11
1569,2018-01-11
1570,2014-12-20
1571,2019-01-04
1572,2015-12-11
1573,2016-06-27
1574,2018-12-27
1575,2018-03-13
1576,2014-12-20
1577,2018-03-13
1578,2014-12-20
1579,2012-05-27
1580,2015-10-06
1581,2012-07-25
1582,2012-07-24
1583,2019-01-10
1584,2019-01-11
1585,2017-03-31
1586,2014-09-28
1587,2015-05-11
1588,2018-06-22
1589,2018-01-11
1590,2019-01-14
1591,2017-12-05
1592,2017-12-05
1593,2018-03-09
1594,2019-01-16
1595,2016-12-12
1596,2013-02-06
1597,2016-04-01
1598,2018-01-11
1599,2018-01-11
1600,2018-01-11
1601,2017-12-07
1602,2012-12-05
1603,2018-12-14
1604,2015-08-18
1605,2016-05-13
1606,2019-01-23
1607,2016-01-04
1608,2017-09-07
1609,2017-09-07
1610,2017-09-07
1611,2017-09-07
1612,2013-02-15
1613,2014-05-11
1614,2019-01-26
1615,2018-09-21
1616,2016-04-05
1617,2015-02-25
1618,2019-01-12
1619,2017-09-20
1620,2017-06-13
1621,2017-09-07
1622,2017-09-07
1623,2013-11-22
1624,2018-01-11
1625,2018-07-20
1626,2013-07-15
1627,2017-09-20
1628,2017-11-08
1629,2019-02-11
1630,2014-06-18
1631,2014-06-18
1632,2017-09-20
1633,2014-06-18
1634,2017-09-07
1635,2016-07-20
1636,2019-02-16
1637,2016-04-10
1638,2018-06-09
1639,2014-08-09
1640,2012-04-13
1641,2016-06-06
1642,2019-02-18
1643,2015-12-29
1644,2015-12-29
1645,2015-12-29
1646,2015-12-29
1647,2015-12-29
1648,2015-12-29
1649,2015-12-29
1650,2016-09-13
1651,2018-01-11
1652,2017-11-25
1653,2017-09-07
1654,2016-01-03
1655,2016-01-03
1656,2013-07-16
1657,2019-02-23
1658,2018-07-08
1659,2015-06-12
1660,2017-07-13
1661,2019-02-26
1662,2014-12-15
1663,2016-01-26
1664,2015-05-26
1665,2014-01-02
1666,2018-03-31
1667,2019-03-01
1668,2015-05-29
1669,2016-12-12
1670,2014-08-28
1671,2013-10-20
1672,2019-02-26
1673,2017-09-07
1674,2014-04-04
1675,2019-03-05
1676,2018-03-25
1677,2019-03-06
1678,2019-03-07
1679,2019-03-09
1680,2016-10-04
1681,2013-06-17
1682,2011-12-07
1683,2014-07-12
1684,2019-03-11
1685,2019-03-11
1686,2018-05-03
1687,2019-03-12
1688,2019-03-12
1689,2015-01-30
1690,2013-07-15
1691,2014-10-07
1692,2018-03-12
1693,2018-03-12
1694,2016-04-21
1695,2018-01-11
1696,2018-01-11
1697,2018-01-11
1698,2018-01-11
1699,2016-01-26
1700,2014-08-02
1701,2017-05-19
1702,2018-03-12
1703,2014-08-03
1704,2013-09-03
1705,2017-11-25
1706,2014-05-08
1707,2016-07-14
1708,2014-06-05
1709,2019-03-23
1710,2019-02-07
1711,2019-03-25
1712,2011-03-07
1713,2016-09-21
1714,2011-03-07
1715,2011-06-20
1716,2012-09-03
1717,2016-02-08
1718,2018-02-01
1719,2016-03-08
1720,2019-04-04
1721,2013-09-23
1722,2016-07-16
1723,2016-01-03
1724,2016-07-16
1725,2019-04-06
1726,2014-05-20
1727,2014-05-20
1728,2016-02-04
1729,2015-09-18
1730,2015-03-28
1731,2019-04-10
1732,2015-01-02
1733,2015-05-05
1734,2015-05-05
1735,2015-05-05
1736,2015-05-05
1737,2015-05-05
1738,2015-05-05
1739,2015-05-05
1740,2015-05-05
1741,2010-07-16
1742,2015-07-28
1743,2013-09-16
1744,2014-06-01
1745,2014-03-15
1746,2015-06-30
1747,2016-05-13
1748,2016-04-20
1749,2017-01-25
1750,2015-06-15
1751,2017-05-30
1752,2017-08-10
1753,2013-04-14
1754,2019-04-21
1755,2016-06-06
1756,2016-07-26
1757,2018-03-25
1758,2017-09-19
1759,2017-09-19
1760,2012-09-24
1761,2019-04-26
1762,2018-02-12
1763,2017-09-19
1764,2017-09-21
1765,2012-07-03
1766,2012-09-24
1767,2018-05-14
1768,2012-09-24
1769,2016-09-21
1770,2016-09-21
1771,2016-09-21
1772,2012-09-24
1773,2012-09-24
1774,2012-09-24
1775,2012-09-24
1776,2016-02-24
1777,2017-03-02
1778,2017-03-02
1779,2012-09-24
1780,2017-11-13
1781,2015-04-04
1782,2013-03-28
1783,2014-12-27
1784,2017-09-20
1785,2016-11-17
1786,2012-09-24
1787,2016-02-25
1788,2017-03-02
1789,2015-05-05
1790,2019-05-09
1791,2019-05-14
1792,2015-07-09
1793,2016-06-23
1794,2010-11-09
1795,2017-10-26
1796,2017-09-19
1797,2019-05-16
1798,2014-07-06
1799,2018-01-11
1800,2015-02-02
1801,2014-03-25
1802,2015-09-01
1803,2019-05-21
1804,2015-01-13
1805,2015-01-13
1806,2014-05-20
1807,2013-12-05
1808,2014-12-12
1809,2015-07-06
1810,2014-03-25
1811,2014-03-25
1812,2014-03-25
1813,2014-03-25
1814,2014-03-25
1815,2014-03-25
1816,2014-03-25
1817,2015-03-19
1818,2017-09-19
1819,2019-05-29
1820,2018-01-11
1821,2019-05-21
1822,2019-06-01
1823,2018-05-11
1824,2019-06-02
1825,2019-03-21
1826,2019-03-21
1827,2019-03-21
1828,2019-03-21
1829,2019-03-21
1830,2019-03-21
1831,2011-09-28
1832,2019-06-04
1833,2016-12-08
1834,2018-01-11
1835,2019-04-29
1836,2018-01-11
1837,2018-01-11
1838,2019-06-05
1839,2013-07-22
1840,2019-03-06
1841,2018-01-11
1842,2019-06-07
1843,2019-06-05
1844,2019-06-07
1845,2019-02-11
1846,2019-06-08
1847,2019-06-08
1848,2017-02-03
1849,2019-06-08
1850,2016-06-25
1851,2019-03-21
1852,2015-08-20
1853,2019-03-21
1854,2019-03-21
1855,2018-01-01
1856,2017-07-26
1857,2019-03-21
1858,2019-03-21
1859,2019-03-21
1860,2019-03-21
1861,2018-01-11
1862,2017-06-13
1863,2019-03-21
1864,2019-02-11
1865,2012-09-24
1866,2012-10-02
1867,2019-06-13
1868,2017-07-26
1869,2018-02-16
1870,2015-02-07
1871,2018-01-11
1872,2018-03-30
1873,2012-10-02
1874,2012-09-01
1875,2015-01-29
1876,2017-07-03
1877,2013-10-03
1878,2016-09-21
1879,2012-05-29
1880,2016-06-23
1881,2011-06-20
1882,2013-12-13
1883,2019-03-27
1884,2011-06-20
1885,2017-10-06
1886,2017-09-07
1887,2016-03-03
1888,2017-09-07
1889,2013-11-25
1890,2019-06-28
1891,2012-07-26
1892,2015-02-10
1893,2018-01-11
1894,2013-10-08
1895,2012-11-11
1896,2013-12-11
1897,2019-06-11
1898,2018-07-29
1899,2018-03-31
1900,2019-02-11
1901,2019-07-05
1902,2018-04-13
1903,2013-01-04
1904,2016-05-28
1905,2017-02-12
1906,2019-07-08
1907,2019-07-08
1908,2015-10-14
1909,2016-01-03
1910,2015-05-10
1911,2011-06-20
1912,2016-09-21
1913,2011-06-20
1914,2019-07-09
1915,2011-06-20
1916,2014-11-02
1917,2016-05-22
1918,2016-11-12
1919,2014-07-10
1920,2019-07-14
1921,2019-07-13
1922,2017-09-20
1923,2015-05-26
1924,2019-07-17
1925,2012-09-24
1926,2017-08-08
1927,2016-08-17
1928,2016-04-02
1929,2014-04-19
1930,2017-08-08
1931,2014-12-01
1932,2014-03-29
1933,2019-07-19
1934,2018-01-11
1935,2016-05-15
1936,2016-07-09
1937,2016-03-17
1938,2013-12-13
1939,2016-12-12
1940,2017-06-13
1941,2018-07-08
1942,2019-07-09
1943,2011-09-02
1944,2016-02-25
1945,2014-06-21
1946,2018-01-29
1947,2018-11-03
1948,2013-11-02
1949,2016-09-12
1950,2016-01-25
1951,2014-10-03
1952,2016-02-15
1953,2016-06-22
1954,2019-07-31
1955,2019-07-31
1956,2017-08-11
1957,2019-07-31
1958,2015-02-28
1959,2016-08-21
1960,2019-07-09
1961,2015-12-13
1962,2015-04-03
1963,2018-08-04
1964,2013-06-23
1965,2013-11-24
1966,2019-08-05
1967,2016-08-04
1968,2019-07-31
1969,2018-01-11
1970,2018-01-11
1971,2019-04-22
1972,2015-10-21
1973,2019-08-10
1974,2019-08-10
1975,2017-09-07
1976,2015-11-26
1977,2019-08-12
1978,2015-08-12
1979,2019-07-31
1980,2017-11-02
1981,2019-08-14
1982,2019-04-11
1983,2014-10-22
1984,2015-07-22
1985,2015-09-25
1986,2018-01-11
1987,2014-06-01
1988,2018-01-11
1989,2017-01-03
1990,2019-02-11
1991,2019-07-17
1992,2016-07-23
1993,2013-08-13
1994,2019-07-15
1995,2018-01-11
1996,2017-09-20
1997,2018-01-11
1998,2019-08-24
1999,2018-01-11
2000,2018-01-11
2001,2019-08-25
2002,2015-10-14
2003,2013-06-17
2004,2017-09-20
2005,2017-09-20
2006,2018-01-11
2007,2019-08-26
2008,2016-10-22
2009,2017-07-26
2010,2017-09-07
2011,2017-09-20
2012,2016-01-19
2013,2018-01-11
2014,2012-03-23
2015,2019-07-17
2016,2013-09-23
2017,2014-07-02
2018,2015-08-08
2019,2019-08-30
2020,2019-08-30
2021,2017-09-10
2022,2014-01-19
2023,2013-05-28
2024,2018-05-03
2025,2017-03-19
2026,2018-09-18
2027,2018-01-11
2028,2018-05-15
2029,2013-09-18
2030,2012-10-11
2031,2019-06-01
2032,2018-03-22
2033,2015-05-21
2034,2016-07-20
2035,2015-04-10
2036,2019-05-25
2037,2015-06-04
2038,2019-09-08
2039,2017-05-02
2040,2016-07-23
2041,2019-06-08
2042,2016-09-08
2043,2015-10-14
2044,2018-06-21
2045,2015-08-19
2046,2016-05-13
2047,2017-03-26
2048,2017-10-14
2049,2016-05-22
2050,2016-07-19
2051,2017-10-28
2052,2017-06-30
2053,2016-01-03
2054,2016-05-13
2055,2018-01-11
2056,2018-01-11
2057,2018-01-11
2058,2018-02-24
2059,2018-01-11
2060,2018-01-11
2061,2014-06-02
2062,2019-07-17
2063,2015-08-02
2064,2019-09-23
2065,2016-07-12
2066,2016-12-01
2067,2014-04-23
2068,2017-06-11
2069,2012-12-05
2070,2019-09-19
2071,2017-09-20
2072,2018-12-27
2073,2016-07-26
2074,2019-09-28
2075,2017-11-29
2076,2019-09-29
2077,2016-08-28
2078,2019-09-30
2079,2016-06-10
2080,2018-08-24
2081,2018-01-11
2082,2018-04-20
2083,2019-10-03
2084,2019-10-03
2085,2017-06-15
2086,2015-02-27
2087,2014-06-18
2088,2015-05-05
2089,2012-08-07
2090,2016-02-15
2091,2019-08-04
2092,2019-08-04
2093,2012-11-13
2094,2013-03-24
2095,2017-02-28
2096,2018-06-26
2097,2019-10-08
2098,2012-03-13
2099,2015-05-11
2100,2016-09-21
2101,2017-09-07
2102,2016-12-06
2103,2019-03-19
2104,2019-10-13
2105,2011-06-18
2106,2015-06-16
2107,2016-09-21
2108,2016-09-21
2109,2016-09-21
2110,2016-09-21
2111,2018-02-19
2112,2019-10-17
2113,2019-10-17
2114,2014-06-05
2115,2019-05-12
2116,2017-02-24
2117,2018-01-11
2118,2018-01-11
2119,2016-09-27
2120,2014-05-06
2121,2019-08-22
2122,2015-01-12
2123,2015-05-05
2124,2019-04-15
2125,2016-12-04
2126,2017-08-23
2127,2019-10-22
2128,2019-10-23
2129,2018-08-30
2130,2012-11-13
2131,2016-09-22
2132,2018-09-26
2133,2019-10-25
2134,2016-05-26
2135,2017-09-07
2136,2019-10-27
2137,2019-10-29
2138,2017-09-07
2139,2012-09-24
2140,2015-05-05
2141,2016-07-18
2142,2019-10-31
2143,2017-09-20
2144,2016-05-13
2145,2019-11-01
2146,2019-11-02
2147,2019-03-05
2148,2013-12-18
2149,2015-05-02
2150,2012-09-24
2151,2014-08-28
2152,2015-08-07
2153,2016-07-29
2154,2019-10-29
2155,2018-02-21
2156,2011-04-02
2157,2018-11-02
2158,2019-10-29
2159,2019-11-12
2160,2017-06-23
2161,2019-02-11
2162,2019-11-15
2163,2019-11-15
2164,2015-08-06
2165,2019-11-16
2166,2016-03-08
2167,2015-07-07
2168,2016-02-28
2169,2015-04-13
2170,2013-06-17
2171,2014-04-06
2172,2019-10-29
2173,2019-10-29
2174,2017-12-20
2175,2017-08-02
2176,2016-07-16
2177,2014-05-04
2178,2013-12-10
2179,2013-09-28
2180,2013-09-28
2181,2013-09-28
2182,2018-05-11
2183,2012-09-24
2184,2012-09-24
2185,2012-09-24
2186,2015-03-18
2187,2016-09-21
2188,2015-11-03
2189,2019-12-05
2190,2014-04-22
2191,2017-09-07
2192,2019-06-15
2193,2010-09-24
2194,2019-12-03
2195,2016-06-24
2196,2012-09-24
2197,2017-08-03
2198,2014-08-05
2199,2019-09-02
2200,2017-01-20
2201,2016-01-03
2202,2012-09-24
2203,2012-09-24
2204,2016-10-06
2205,2017-09-07
2206,2015-04-03
2207,2016-01-29
2208,2017-02-12
2209,2012-09-24
2210,2019-12-17
2211,2012-09-24
2212,2012-12-27
2213,2017-09-07
2214,2017-09-07
2215,2015-02-02
2216,2015-03-06
2217,2019-12-24
2218,2019-12-17
2219,2016-09-21
2220,2018-08-01
2221,2014-05-03
2222,2018-02-03
2223,2019-12-31
2224,2018-01-11
2225,2013-05-30
2226,2014-06-18
2227,2018-06-26
2228,2016-09-21
2229,2016-09-21
2230,2020-01-05
2231,2014-12-07
2232,2020-01-05
2233,2019-08-25
2234,2016-04-08
2235,2018-07-20
2236,2012-05-24
2237,2020-01-07
2238,2017-08-14
2239,2018-01-11
2240,2018-03-19
2241,2014-02-26
2242,2014-12-11
2243,2015-04-15
2244,2015-06-05
2245,2019-05-07
2246,2020-01-12
2247,2019-06-08
2248,2019-04-13
2249,2020-01-13
2250,2020-01-13
2251,2020-01-13
2252,2020-01-13
2253,2020-01-13
2254,2018-05-15
2255,2016-09-21
2256,2016-03-04
2257,2015-01-26
2258,2019-12-17
2259,2017-09-20
2260,2015-06-05
2261,2015-06-05
2262,2017-06-13
2263,2020-01-19
2264,2019-08-31
2265,2015-04-28
2266,2017-12-18
2267,2012-05-21
2268,2013-07-03
2269,2017-09-20
2270,2020-01-16
2271,2013-08-16
2272,2016-04-19
2273,2017-09-07
2274,2018-07-31
2275,2020-01-31
2276,2018-01-18
2277,2013-11-25
2278,2016-08-31
2279,2016-04-19
2280,2012-07-18
2281,2012-11-30
2282,2016-12-29
2283,2019-12-05
2284,2014-04-29
2285,2013-08-06
2286,2016-07-16
2287,2013-12-13
2288,2019-10-27
2289,2019-10-27
2290,2019-10-27
2291,2017-03-22
2292,2013-12-08
2293,2017-05-15
2294,2019-10-31
2295,2012-10-02
2296,2018-01-11
2297,2016-09-01
2298,2015-03-10
2299,2020-01-19
2300,2014-06-18
2301,2016-01-02
2302,2015-07-30
2303,2016-12-01
2304,2019-12-05
2305,2014-12-28
2306,2019-07-02
2307,2020-02-22
2308,2015-07-08
2309,2016-04-19
2310,2020-02-23
2311,2019-10-22
2312,2019-10-22
2313,2020-02-25
2314,2014-05-04
2315,2009-10-23
2316,2018-01-11
2317,2020-02-26
2318,2014-06-18
2319,2020-03-01
2320,2019-10-22
2321,2019-06-08
2322,2014-09-12
2323,2017-01-20
2324,2015-12-01
2325,2019-11-03
2326,2019-11-25
2327,2017-04-08
2328,2016-04-19
2329,2016-07-05
2330,2016-09-21
2331,2017-09-19
2332,2017-07-04
2333,2015-10-23
2334,2017-09-19
2335,2017-09-19
2336,2017-09-19
2337,2016-09-21
2338,2020-03-20
2339,2020-03-20
2340,2020-03-20
2341,2015-02-24
2342,2013-02-20
2343,2016-07-28
2344,2020-03-28
2345,2016-05-13
2346,2017-12-10
2347,2019-10-02
2348,2017-09-07
2349,2015-06-10
2350,2019-05-13
2351,2019-03-05
2352,2019-03-05
2353,2010-07-28
2354,2017-09-07
2355,2018-10-31
2356,2020-04-08
2357,2020-04-08
2358,2020-04-08
2359,2020-04-08
2360,2020-04-08
2361,2020-04-08
2362,2020-04-08
2363,2020-04-08
2364,2017-05-06
2365,2014-01-07
2366,2016-09-21
2367,2010-10-19
2368,2018-05-14
2369,2015-04-28
2370,2016-10-06
2371,2020-04-27
2372,2018-06-19
2373,2018-06-19
2374,2012-09-24
2375,2014-05-20
2376,2016-03-20
2377,2015-09-25
2378,2015-09-21
2379,2020-05-09
2380,2018-11-15
2381,2020-03-20
2382,2015-09-10
2383,2020-04-08
2384,2020-05-21
2385,2012-02-17
2386,2012-09-24
