,host_since
355,2014-07-14
356,2015-08-24
357,2013-11-29
358,2014-02-04
359,2015-10-10
360,2016-03-29
361,2014-02-04
362,2015-09-09
363,2015-02-12
364,2010-07-28
365,2014-10-06
366,2013-08-04
367,2015-10-10
368,2016-04-04
369,2016-03-07
370,2013-07-30
371,2014-12-10
372,2012-09-13
373,2011-06-26
374,2014-09-23
375,2016-03-27
376,2016-02-14
377,2012-07-19
378,2015-04-11
379,2016-04-13
380,2013-09-04
381,2015-09-30
382,2015-09-01
383,2016-04-16
384,2016-04-19
385,2015-04-13
386,2011-04-05
387,2011-04-05
388,2011-04-05
389,2015-08-31
390,2015-10-10
391,2016-04-10
392,2014-05-20
393,2016-04-29
394,2016-05-01
395,2016-05-01
396,2016-04-28
397,2013-08-11
398,2016-05-03
399,2013-08-04
400,2016-05-07
401,2014-04-11
402,2015-07-30
403,2014-11-15
404,2011-08-12
405,2011-06-26
406,2016-04-13
407,2016-05-13
408,2016-05-14
409,2014-09-15
410,2014-10-29
411,2014-01-14
412,2016-05-19
413,2016-05-18
414,2016-05-11
415,2016-05-22
416,2015-12-20
417,2012-05-06
418,2016-05-25
419,2013-08-31
420,2016-02-17
421,2016-05-26
422,2014-04-26
423,2014-06-23
424,2016-03-24
425,2016-05-25
426,2012-03-23
427,2014-06-17
428,2014-06-06
429,2016-05-30
430,2016-06-01
431,2012-03-06
432,2016-06-02
433,2014-02-25
434,2016-06-03
435,2016-02-06
436,2012-03-06
437,2016-06-03
438,2011-10-25
439,2015-04-27
440,2016-06-08
441,2014-08-02
442,2016-04-13
443,2015-04-27
444,2015-04-27
445,2015-01-08
446,2016-06-16
447,2015-08-01
448,2012-03-23
449,2016-02-03
450,2015-07-06
451,2015-06-26
452,2015-02-22
453,2013-07-11
454,2013-11-27
455,2016-03-21
456,2012-11-19
457,2016-01-05
458,2016-05-16
459,2014-12-08
460,2015-01-05
461,2015-11-02
462,2014-10-06
463,2016-02-17
464,2015-10-10
465,2016-04-11
466,2016-03-17
467,2016-07-17
468,2012-06-05
469,2015-07-10
470,2016-06-17
471,2011-04-03
472,2016-07-21
473,2013-12-21
474,2016-07-24
475,2014-10-29
476,2016-03-11
477,2015-09-06
478,2011-07-08
479,2012-09-15
480,2014-09-21
481,2016-07-29
482,2016-07-29
483,2016-07-29
484,2014-05-13
485,2013-07-30
486,2012-07-22
487,2014-08-06
488,2016-08-09
489,2013-12-31
490,2014-09-22
491,2012-10-24
492,2013-09-01
493,2016-08-13
494,2015-06-06
495,2012-10-15
496,2014-08-22
497,2016-06-11
498,2015-04-18
499,2012-11-30
500,2015-10-15
501,2015-04-18
502,2015-06-12
503,2012-03-23
504,2016-04-04
505,2013-12-18
506,2014-03-18
507,2016-03-28
508,2016-03-02
509,2016-08-30
510,2016-08-31
511,2016-09-01
512,2015-05-08
513,2016-06-14
514,2014-09-04
515,2015-11-06
516,2015-10-21
517,2012-09-25
518,2016-09-11
519,2016-06-09
520,2015-01-11
521,2016-09-14
522,2015-10-07
523,2016-09-17
524,2015-03-16
525,2014-05-15
526,2016-09-21
527,2016-09-22
528,2014-09-06
529,2016-05-18
530,2013-10-12
531,2016-09-26
532,2014-05-19
533,2016-05-30
534,2015-08-31
535,2012-12-26
536,2016-09-03
537,2016-05-18
538,2016-05-07
539,2015-03-18
540,2016-01-04
541,2016-09-03
542,2016-10-04
543,2012-09-25
544,2012-09-25
545,2016-10-04
546,2016-03-14
547,2016-10-08
548,2016-05-16
549,2016-10-09
550,2014-05-23
551,2015-04-29
552,2016-08-12
553,2015-11-19
554,2013-10-02
555,2016-10-12
556,2016-08-11
557,2015-10-07
558,2015-05-04
559,2015-10-28
560,2016-10-17
561,2015-07-09
562,2016-02-02
563,2015-05-04
564,2015-12-11
565,2013-12-09
566,2016-10-05
567,2015-10-19
568,2016-10-24
569,2014-06-01
570,2013-01-20
571,2016-10-26
572,2013-02-25
573,2016-10-30
574,2016-08-07
575,2016-11-01
576,2013-02-20
577,2015-04-07
578,2016-10-30
579,2015-07-22
580,2015-10-11
581,2016-11-01
582,2014-08-15
583,2016-03-01
584,2016-11-11
585,2012-07-30
586,2014-12-31
587,2009-12-13
588,2015-10-07
589,2011-09-18
590,2014-08-16
591,2015-07-06
592,2015-02-18
593,2012-06-14
594,2015-11-09
595,2016-12-01
596,2016-10-17
597,2014-10-20
598,2016-12-05
599,2016-10-22
600,2015-08-27
601,2013-04-11
602,2016-03-06
603,2016-12-05
604,2011-03-07
605,2011-10-24
606,2015-08-16
607,2016-12-22
608,2013-05-23
609,2014-12-09
610,2013-11-15
611,2015-04-29
612,2015-03-03
613,2016-12-27
614,2015-09-26
615,2014-05-04
616,2016-12-30
617,2016-06-18
618,2013-08-09
619,2013-08-09
620,2015-03-26
621,2016-02-22
622,2011-03-07
623,2014-06-08
624,2014-06-18
625,2012-03-08
626,2016-07-19
627,2015-11-23
628,2016-07-01
629,2017-01-18
630,2017-01-20
631,2015-03-18
632,2016-09-21
633,2016-09-21
634,2016-09-21
635,2012-12-05
636,2015-12-22
637,2017-02-01
638,2015-10-07
639,2017-02-04
640,2017-01-08
641,2017-02-06
642,2014-09-19
643,2016-12-05
644,2015-04-16
645,2015-08-05
646,2014-09-21
647,2017-02-19
648,2017-02-20
649,2012-12-03
650,2015-08-15
651,2017-02-22
652,2014-12-20
653,2014-09-21
654,2016-06-17
655,2017-01-28
656,2016-09-26
657,2014-05-26
658,2016-05-22
659,2017-03-04
660,2017-03-06
661,2016-09-21
662,2016-05-13
663,2016-05-30
664,2012-02-21
665,2016-07-06
666,2012-02-21
667,2016-05-13
668,2015-06-16
669,2016-09-04
670,2013-04-09
671,2012-12-19
672,2014-12-25
673,2016-08-02
674,2014-03-05
675,2017-01-03
676,2014-07-30
677,2015-10-07
678,2014-03-15
679,2017-03-27
680,2011-02-03
681,2014-09-23
682,2013-03-18
683,2014-03-07
684,2017-03-30
685,2015-06-30
686,2015-06-30
687,2016-12-30
688,2015-07-23
689,2013-06-05
690,2017-04-06
691,2017-04-08
692,2015-08-25
693,2017-04-08
694,2015-06-28
695,2013-03-07
696,2017-03-30
697,2016-04-18
698,2015-11-22
699,2016-09-22
700,2016-09-22
701,2016-09-22
702,2016-09-22
703,2016-09-22
704,2013-06-04
705,2016-01-27
706,2017-04-24
707,2016-09-22
708,2015-03-13
709,2016-09-22
710,2016-09-22
711,2016-09-22
712,2017-04-26
